Geography,Geographic Area Name,total,noncitizen,citizen
5001800US4213,"Congressional District 13 (118th Congress), Pennsylvania",765875,10038,755837
5001800US4214,"Congressional District 14 (118th Congress), Pennsylvania",753602,6266,747336
5001800US4215,"Congressional District 15 (118th Congress), Pennsylvania",750180,12198,737982
5001800US4216,"Congressional District 16 (118th Congress), Pennsylvania",761148,8224,752924
5001800US4217,"Congressional District 17 (118th Congress), Pennsylvania",749982,17626,732356
5001800US4401,"Congressional District 1 (118th Congress), Rhode Island",536470,41969,494501
5001800US4402,"Congressional District 2 (118th Congress), Rhode Island",559492,32968,526524
5001800US4501,"Congressional District 1 (118th Congress), South Carolina",776842,29189,747653
5001800US4502,"Congressional District 2 (118th Congress), South Carolina",755004,25645,729359
5001800US4503,"Congressional District 3 (118th Congress), South Carolina",768137,16437,751700
5001800US4504,"Congressional District 4 (118th Congress), South Carolina",767156,40143,727013
5001800US4505,"Congressional District 5 (118th Congress), South Carolina",771387,24420,746967
5001800US4506,"Congressional District 6 (118th Congress), South Carolina",755258,27417,727841
5001800US4507,"Congressional District 7 (118th Congress), South Carolina",779771,17789,761982
5001800US4600,"Congressional District (at Large) (118th Congress), South Dakota",919318,19997,899321
5001800US4701,"Congressional District 1 (118th Congress), Tennessee",788014,17542,770472
5001800US4702,"Congressional District 2 (118th Congress), Tennessee",806407,25261,781146
5001800US4703,"Congressional District 3 (118th Congress), Tennessee",798804,18503,780301
5001800US4704,"Congressional District 4 (118th Congress), Tennessee",808625,33478,775147
5001800US4705,"Congressional District 5 (118th Congress), Tennessee",793338,52928,740410
5001800US4706,"Congressional District 6 (118th Congress), Tennessee",796534,29849,766685
5001800US4707,"Congressional District 7 (118th Congress), Tennessee",813590,35646,777944
5001800US4708,"Congressional District 8 (118th Congress), Tennessee",773599,15314,758285
5001800US4709,"Congressional District 9 (118th Congress), Tennessee",747578,41158,706420
5001800US4801,"Congressional District 1 (118th Congress), Texas",785535,35388,750147
5001800US4802,"Congressional District 2 (118th Congress), Texas",839055,91002,748053
5001800US4803,"Congressional District 3 (118th Congress), Texas",872647,75914,796733
5001800US4804,"Congressional District 4 (118th Congress), Texas",845835,81376,764459
5001800US4805,"Congressional District 5 (118th Congress), Texas",827361,83280,744081
5001800US4806,"Congressional District 6 (118th Congress), Texas",814151,95090,719061
5001800US4807,"Congressional District 7 (118th Congress), Texas",809564,180248,629316
5001800US4808,"Congressional District 8 (118th Congress), Texas",868181,85142,783039
5001800US4809,"Congressional District 9 (118th Congress), Texas",764812,134913,629899
5001800US4810,"Congressional District 10 (118th Congress), Texas",817807,60451,757356
5001800US4811,"Congressional District 11 (118th Congress), Texas",790592,51935,738657
5001800US4812,"Congressional District 12 (118th Congress), Texas",849835,48020,801815
5001800US4813,"Congressional District 13 (118th Congress), Texas",790888,44556,746332
5001800US4814,"Congressional District 14 (118th Congress), Texas",778849,41903,736946
5001800US4815,"Congressional District 15 (118th Congress), Texas",799844,116019,683825
